student_id,date,present,session_id
S1000,2025-05-15,1,F
S1000,2025-05-16,1,F
S1000,2025-05-17,0,M
S1000,2025-05-18,1,M
S1000,2025-05-19,1,F
S1000,2025-05-20,1,F
S1000,2025-05-21,0,M
S1000,2025-05-22,1,M
S1000,2025-05-23,1,F
S1000,2025-05-24,1,F
S1000,2025-05-25,1,M
S1000,2025-05-26,1,M
S1000,2025-05-27,1,F
S1000,2025-05-28,0,F
S1000,2025-05-29,1,M
S1000,2025-05-30,1,F
S1000,2025-05-31,1,F
S1000,2025-06-01,1,F
S1000,2025-06-02,1,F
S1000,2025-06-03,1,M
S1000,2025-06-04,1,F
S1000,2025-06-05,1,F
S1000,2025-06-06,1,F
S1000,2025-06-07,1,M
S1000,2025-06-08,1,F
S1000,2025-06-09,1,M
S1000,2025-06-10,1,M
S1000,2025-06-11,0,M
S1000,2025-06-12,1,M
S1000,2025-06-13,1,M
S1000,2025-06-14,1,M
S1000,2025-06-15,1,M
S1000,2025-06-16,1,F
S1000,2025-06-17,1,M
S1000,2025-06-18,0,M
S1000,2025-06-19,1,M
S1000,2025-06-20,1,F
S1000,2025-06-21,1,M
S1000,2025-06-22,1,F
S1000,2025-06-23,1,F
S1000,2025-06-24,1,F
S1000,2025-06-25,1,F
S1000,2025-06-26,1,F
S1000,2025-06-27,0,F
S1000,2025-06-28,1,M
S1000,2025-06-29,1,M
S1000,2025-06-30,1,M
S1000,2025-07-01,1,M
S1000,2025-07-02,1,M
S1000,2025-07-03,1,F
S1000,2025-07-04,1,F
S1000,2025-07-05,1,M
S1000,2025-07-06,0,M
S1000,2025-07-07,1,F
S1000,2025-07-08,1,F
S1000,2025-07-09,1,F
S1000,2025-07-10,1,F
S1000,2025-07-11,1,F
S1000,2025-07-12,1,F
S1000,2025-07-13,1,M
S1000,2025-07-14,1,F
S1000,2025-07-15,1,M
S1000,2025-07-16,1,F
S1000,2025-07-17,1,F
S1000,2025-07-18,1,F
S1000,2025-07-19,1,F
S1000,2025-07-20,1,F
S1000,2025-07-21,1,F
S1000,2025-07-22,1,M
S1000,2025-07-23,1,F
S1000,2025-07-24,1,M
S1000,2025-07-25,1,M
S1000,2025-07-26,1,F
S1000,2025-07-27,0,F
S1000,2025-07-28,1,M
S1000,2025-07-29,1,F
S1000,2025-07-30,1,F
S1000,2025-07-31,1,M
S1000,2025-08-01,1,M
S1000,2025-08-02,1,F
S1000,2025-08-03,1,F
S1000,2025-08-04,1,F
S1000,2025-08-05,0,F
S1000,2025-08-06,1,M
S1000,2025-08-07,1,M
S1000,2025-08-08,0,F
S1000,2025-08-09,1,F
S1000,2025-08-10,0,M
S1000,2025-08-11,1,F
S1000,2025-08-12,1,M
S1000,2025-08-13,1,M
S1000,2025-08-14,1,M
S1000,2025-08-15,1,F
S1000,2025-08-16,1,F
S1000,2025-08-17,0,M
S1000,2025-08-18,1,M
S1000,2025-08-19,1,M
S1000,2025-08-20,1,F
S1000,2025-08-21,1,F
S1000,2025-08-22,1,F
S1000,2025-08-23,1,F
S1000,2025-08-24,1,F
S1000,2025-08-25,1,M
S1000,2025-08-26,1,M
S1000,2025-08-27,1,F
S1000,2025-08-28,0,M
S1000,2025-08-29,1,F
S1000,2025-08-30,1,F
S1000,2025-08-31,1,M
S1000,2025-09-01,1,F
S1000,2025-09-02,1,F
S1000,2025-09-03,1,M
S1000,2025-09-04,1,F
S1000,2025-09-05,1,F
S1000,2025-09-06,1,F
S1000,2025-09-07,1,M
S1000,2025-09-08,0,M
S1000,2025-09-09,1,M
S1000,2025-09-10,1,F
S1000,2025-09-11,1,F
S1001,2025-05-15,1,F
S1001,2025-05-16,1,F
S1001,2025-05-17,1,M
S1001,2025-05-18,1,M
S1001,2025-05-19,1,F
S1001,2025-05-20,1,M
S1001,2025-05-21,1,M
S1001,2025-05-22,1,M
