student_id,event_date,activity_type,participation_score,notes
S1000,2025-05-05,club,1,note
S1001,2025-09-02,club,4,note
S1002,2025-03-04,club,5,note
S1003,2024-10-27,club,1,note
S1004,2024-12-22,club,1,note
S1007,2025-04-03,club,1,note
S1007,2024-08-15,club,5,note
S1008,2025-08-13,club,5,note
S1008,2024-09-30,club,2,note
S1009,2025-02-24,club,4,note
S1009,2024-08-17,club,2,note
S1010,2024-12-07,club,2,note
S1010,2024-11-30,club,5,note
S1011,2025-01-01,club,4,note
S1012,2025-06-11,club,4,note
S1012,2024-09-30,club,5,note
S1012,2025-02-26,club,1,note
S1013,2024-10-03,club,1,note
S1013,2025-08-08,club,3,note
S1014,2024-09-13,club,1,note
S1015,2024-09-26,club,1,note
S1016,2024-10-18,club,1,note
S1016,2025-03-07,club,4,note
S1016,2025-05-16,club,4,note
S1017,2025-08-25,club,2,note
S1018,2025-06-16,club,3,note
S1021,2025-01-05,club,5,note
S1022,2024-10-22,club,1,note
S1023,2024-12-04,club,1,note
S1023,2025-08-07,club,1,note
S1023,2025-08-07,club,2,note
S1026,2025-07-18,club,4,note
S1026,2024-08-27,club,2,note
S1028,2025-02-20,club,3,note
S1029,2025-03-23,club,4,note
S1029,2024-09-08,club,2,note
S1030,2024-11-09,club,5,note
S1030,2024-10-08,club,3,note
S1033,2024-11-11,club,1,note
S1034,2024-08-20,club,1,note
S1034,2024-09-09,club,3,note
S1035,2024-11-25,club,5,note
S1037,2025-05-17,club,5,note
S1037,2025-04-07,club,1,note
S1037,2025-08-09,club,2,note
S1039,2025-08-27,club,5,note
S1040,2025-07-23,club,3,note
S1040,2025-03-24,club,5,note
S1041,2024-12-09,club,2,note
S1041,2024-11-25,club,4,note
S1042,2025-02-09,club,2,note
S1042,2025-06-15,club,5,note
S1042,2025-03-30,club,1,note
S1043,2025-05-14,club,4,note
S1043,2024-08-11,club,1,note
S1044,2024-10-20,club,1,note
S1045,2025-01-12,club,2,note
S1046,2025-07-10,club,5,note
S1047,2025-01-27,club,1,note
S1049,2024-12-27,club,1,note
S1050,2025-02-21,club,1,note
S1050,2024-10-11,club,2,note
S1052,2025-09-01,club,4,note
S1052,2024-12-07,club,1,note
S1053,2025-06-29,club,4,note
S1053,2024-09-06,club,2,note
S1053,2025-05-29,club,5,note
S1054,2024-10-10,club,2,note
S1054,2025-07-24,club,5,note
S1055,2024-11-30,club,3,note
S1055,2025-01-10,club,5,note
S1057,2024-08-30,club,1,note
S1057,2024-10-09,club,2,note
S1058,2025-07-18,club,4,note
S1058,2025-02-08,club,1,note
S1059,2024-12-29,club,5,note
S1062,2024-10-11,club,4,note
S1063,2024-09-27,club,4,note
S1063,2025-08-17,club,1,note
S1063,2025-06-30,club,2,note
S1065,2024-08-30,club,5,note
S1067,2025-05-05,club,1,note
S1068,2024-12-12,club,3,note
S1069,2024-12-14,club,1,note
S1069,2024-12-02,club,1,note
S1070,2024-09-07,club,2,note
S1070,2025-03-07,club,1,note
S1070,2025-04-25,club,3,note
S1071,2025-05-26,club,2,note
S1073,2025-03-26,club,3,note
S1074,2024-08-30,club,1,note
S1076,2025-01-31,club,3,note
S1081,2025-04-15,club,3,note
S1083,2025-01-29,club,5,note
S1084,2025-05-11,club,3,note
S1085,2025-05-18,club,2,note
S1085,2025-07-21,club,3,note
S1086,2024-08-11,club,4,note
S1086,2024-09-11,club,4,note
S1086,2025-09-06,club,4,note
S1086,2024-11-17,club,4,note
S1090,2024-08-22,club,1,note
S1090,2025-03-20,club,1,note
S1093,2025-04-19,club,1,note
S1094,2025-03-06,club,4,note
S1094,2025-03-19,club,3,note
S1097,2025-04-15,club,4,note
S1098,2024-12-02,club,1,note
S1099,2024-10-22,club,3,note
S1101,2025-06-21,club,4,note
S1103,2024-11-27,club,2,note
S1104,2024-11-16,club,4,note
S1105,2024-10-25,club,1,note
S1105,2025-06-30,club,2,note
S1107,2024-09-04,club,4,note
S1108,2025-03-27,club,1,note
S1109,2024-09-17,club,3,note
S1109,2025-01-17,club,1,note
S1113,2025-07-11,club,4,note
S1114,2025-07-24,club,5,note
S1115,2025-06-04,club,3,note
S1116,2024-12-29,club,3,note
S1117,2024-10-17,club,2,note
S1117,2024-11-14,club,3,note
S1119,2025-08-28,club,4,note
S1119,2025-06-26,club,5,note
S1121,2024-11-11,club,3,note
S1122,2024-12-29,club,3,note
S1122,2024-10-08,club,2,note
S1123,2025-03-06,club,1,note
S1126,2025-04-25,club,2,note
S1126,2025-09-01,club,3,note
S1127,2024-12-30,club,5,note
S1127,2025-09-05,club,4,note
S1128,2025-05-24,club,4,note
S1129,2025-02-21,club,4,note
S1132,2025-06-13,club,4,note
S1136,2025-07-15,club,1,note
S1137,2024-12-10,club,5,note
S1138,2025-07-29,club,5,note
S1138,2025-01-26,club,2,note
S1139,2025-06-30,club,1,note
S1141,2024-10-08,club,5,note
S1143,2025-01-26,club,4,note
S1143,2025-08-03,club,3,note
S1144,2024-09-23,club,1,note
S1145,2025-03-25,club,4,note
S1145,2024-09-08,club,1,note
S1147,2024-12-25,club,3,note
S1148,2025-06-03,club,1,note
S1149,2025-09-10,club,5,note
S1149,2025-05-14,club,4,note
S1149,2025-01-24,club,5,note
S1150,2024-11-11,club,2,note
S1150,2025-01-13,club,3,note
S1151,2024-10-30,club,5,note
S1151,2024-10-09,club,5,note
S1151,2025-03-13,club,4,note
S1151,2024-09-05,club,1,note
S1153,2025-03-22,club,4,note
S1158,2024-08-27,club,3,note
S1160,2025-06-26,club,3,note
S1161,2025-08-02,club,4,note
S1161,2025-06-26,club,5,note
S1162,2024-08-29,club,2,note
S1166,2025-09-04,club,2,note
S1166,2025-03-03,club,5,note
S1166,2025-05-09,club,4,note
S1166,2025-02-20,club,4,note
S1166,2024-11-08,club,3,note
S1167,2025-03-27,club,3,note
S1167,2024-12-27,club,2,note
S1168,2025-08-30,club,1,note
S1169,2024-10-03,club,3,note
S1170,2024-08-29,club,2,note
S1170,2025-05-20,club,5,note
S1170,2024-08-24,club,3,note
S1171,2024-12-29,club,5,note
S1173,2025-03-28,club,3,note
S1173,2024-09-16,club,4,note
S1174,2025-05-30,club,5,note
S1175,2025-03-09,club,5,note
S1175,2024-09-28,club,2,note
S1177,2025-02-06,club,5,note
S1180,2025-06-15,club,1,note
S1180,2025-08-19,club,2,note
S1183,2025-05-08,club,4,note
S1183,2025-05-17,club,2,note
S1183,2024-11-24,club,3,note
S1184,2025-06-22,club,4,note
S1185,2024-08-30,club,3,note
S1186,2025-07-09,club,4,note
S1186,2025-04-16,club,4,note
S1187,2025-07-25,club,3,note
S1188,2024-09-09,club,1,note
S1188,2025-05-13,club,1,note
S1189,2025-04-28,club,2,note
S1189,2024-11-30,club,4,note
S1190,2025-06-26,club,3,note
S1190,2025-02-16,club,1,note
S1191,2025-05-04,club,5,note
S1193,2024-10-12,club,3,note
S1194,2024-11-15,club,4,note
S1195,2025-05-15,club,4,note
S1196,2025-03-30,club,2,note
S1196,2025-08-27,club,5,note
S1198,2025-07-07,club,5,note
S1198,2025-05-21,club,3,note
S1199,2024-08-28,club,4,note
S1199,2024-08-13,club,3,note
S1200,2025-05-26,club,5,note
S1200,2025-05-14,club,3,note
S1203,2025-03-08,club,4,note
S1204,2025-03-12,club,1,note
S1205,2024-12-04,club,3,note
S1206,2024-11-13,club,4,note
S1207,2024-12-30,club,4,note
S1207,2025-01-31,club,5,note
S1213,2024-08-25,club,5,note
S1215,2025-02-28,club,5,note
S1216,2025-01-12,club,3,note
S1216,2025-03-29,club,3,note
S1216,2025-06-04,club,2,note
S1220,2024-10-16,club,2,note
S1221,2025-05-13,club,5,note
S1222,2024-08-24,club,5,note
S1223,2025-08-12,club,3,note
S1225,2025-06-19,club,2,note
S1225,2025-02-10,club,2,note
S1225,2024-10-11,club,2,note
S1227,2024-08-15,club,5,note
S1227,2025-06-12,club,1,note
S1227,2025-02-15,club,1,note
S1228,2025-04-08,club,4,note
S1228,2024-12-27,club,5,note
S1229,2025-07-08,club,3,note
S1230,2024-09-03,club,5,note
S1232,2025-04-13,club,1,note
S1232,2024-11-14,club,3,note
S1234,2024-10-19,club,5,note
S1235,2025-01-03,club,3,note
S1236,2024-08-28,club,5,note
S1236,2025-05-14,club,3,note
S1237,2025-04-22,club,3,note
S1238,2025-05-30,club,3,note
S1239,2025-04-18,club,5,note
S1239,2024-08-10,club,4,note
S1241,2024-09-06,club,4,note
S1241,2025-09-02,club,4,note
S1243,2025-01-07,club,4,note
S1244,2024-09-13,club,5,note
S1245,2024-12-23,club,3,note
S1245,2025-02-12,club,2,note
S1247,2024-11-17,club,5,note
S1249,2025-01-17,club,2,note
S1249,2025-01-20,club,3,note
S1249,2024-11-13,club,5,note
S1251,2025-06-16,club,1,note
S1251,2025-07-04,club,2,note
S1251,2024-12-31,club,5,note
S1252,2025-04-28,club,4,note
S1253,2025-05-09,club,5,note
S1253,2024-11-26,club,3,note
S1255,2024-12-27,club,4,note
S1255,2025-05-24,club,3,note
S1255,2024-10-11,club,5,note
S1255,2025-01-24,club,1,note
S1256,2024-10-14,club,2,note
S1257,2025-06-06,club,1,note
S1259,2025-06-06,club,2,note
S1260,2025-08-09,club,2,note
S1262,2024-12-08,club,2,note
S1262,2025-04-11,club,2,note
S1265,2025-02-22,club,4,note
S1265,2025-04-28,club,1,note
S1265,2024-12-15,club,3,note
S1265,2025-06-18,club,3,note
S1266,2025-04-23,club,1,note
S1268,2025-06-11,club,1,note
S1270,2025-06-12,club,4,note
S1270,2025-07-25,club,4,note
S1273,2025-03-10,club,5,note
