state,literacy_rate,rural_pct
Andhra Pradesh,67,70.4
Arunachal Pradesh,65.4,77.3
Assam,72.2,85.9
Bihar,61.8,88.7
Chhattisgarh,71,76.8
Goa,88.7,41
Gujarat,78,57.4
Haryana,76.6,65.2
Himachal Pradesh,82.8,89.9
Jharkhand,67.6,75.9
Karnataka,75.4,61.4
Kerala,93.9,47.7
Madhya Pradesh,70.6,72.4
Maharashtra,82.3,54.8
Manipur,76.9,71.8
Meghalaya,74.4,80
Mizoram,91.3,48.9
Nagaland,80.1,71.1
Odisha,72.9,83.3
Punjab,75.8,62.5
Rajasthan,66.1,75.1
Sikkim,82.2,75
Tamil Nadu,80.1,51.6
Telangana,72.8,61.1
Tripura,87.2,73.4
Uttar Pradesh,67.7,77.7
Uttarakhand,78.8,70
West Bengal,77.1,68.1
