student_id,label_date,dropped,reason
S1000,2025-09-12,0,
S1001,2025-09-12,1,
S1002,2025-09-12,0,
S1003,2025-09-12,1,
S1004,2025-09-12,1,
S1005,2025-09-12,0,
S1006,2025-09-12,1,
S1007,2025-09-12,1,
S1008,2025-09-12,1,
S1009,2025-09-12,0,
S1010,2025-09-12,0,
S1011,2025-09-12,0,
S1012,2025-09-12,0,
S1013,2025-09-12,1,
S1014,2025-09-12,1,
S1015,2025-09-12,0,
S1016,2025-09-12,0,
S1017,2025-09-12,0,
S1018,2025-09-12,0,
S1019,2025-09-12,0,
S1020,2025-09-12,0,
S1021,2025-09-12,0,
S1022,2025-09-12,0,
S1023,2025-09-12,0,
S1024,2025-09-12,1,
S1025,2025-09-12,0,
S1026,2025-09-12,0,
S1027,2025-09-12,0,
S1028,2025-09-12,0,
S1029,2025-09-12,0,
S1030,2025-09-12,1,
S1031,2025-09-12,0,
S1032,2025-09-12,0,
S1033,2025-09-12,0,
S1034,2025-09-12,0,
S1035,2025-09-12,1,
S1036,2025-09-12,0,
S1037,2025-09-12,0,
S1038,2025-09-12,0,
S1039,2025-09-12,0,
S1040,2025-09-12,0,
S1041,2025-09-12,1,
S1042,2025-09-12,0,
S1043,2025-09-12,1,
S1044,2025-09-12,0,
S1045,2025-09-12,1,
S1046,2025-09-12,1,
S1047,2025-09-12,1,
S1048,2025-09-12,0,
S1049,2025-09-12,1,
S1050,2025-09-12,1,
S1051,2025-09-12,0,
S1052,2025-09-12,1,
S1053,2025-09-12,1,
S1054,2025-09-12,0,
S1055,2025-09-12,0,
S1056,2025-09-12,1,
S1057,2025-09-12,1,
S1058,2025-09-12,0,
S1059,2025-09-12,0,
S1060,2025-09-12,1,
S1061,2025-09-12,1,
S1062,2025-09-12,1,
S1063,2025-09-12,0,
S1064,2025-09-12,0,
S1065,2025-09-12,0,
S1066,2025-09-12,0,
S1067,2025-09-12,1,
S1068,2025-09-12,1,
S1069,2025-09-12,0,
S1070,2025-09-12,1,
S1071,2025-09-12,1,
S1072,2025-09-12,1,
S1073,2025-09-12,1,
S1074,2025-09-12,1,
S1075,2025-09-12,0,
S1076,2025-09-12,0,
S1077,2025-09-12,0,
S1078,2025-09-12,0,
