state,failed_courses,total_participation,attendance_count,attendance_rate,avg_grade,total_credits,pass_rate,grade_trend,events_attended,first_gen,gender_M,household_income,gender,socioeconomic_cat_low,socioeconomic_cat_mid,student_name
Andhra Pradesh,1.23,1.21,1.19,1.17,1.04,1.025,1.035,1.025,1.02,1.035,1.03,1.05,1.035,1.04,1.04,1.0
Arunachal Pradesh,1.261,1.241,1.221,1.201,1.065,1.041,1.057,1.041,1.033,1.057,1.049,1.081,1.057,1.065,1.065,1.0
Assam,1.263,1.243,1.223,1.203,1.066,1.042,1.058,1.042,1.033,1.058,1.05,1.083,1.058,1.066,1.066,1.0
Bihar,1.328,1.308,1.288,1.268,1.119,1.074,1.104,1.074,1.059,1.104,1.089,1.148,1.104,1.119,1.119,1.0
Chhattisgarh,1.268,1.248,1.228,1.208,1.071,1.044,1.062,1.044,1.035,1.062,1.053,1.088,1.062,1.071,1.071,1.0
Goa,1.094,1.074,1.054,1.034,0.931,0.957,0.94,0.957,0.966,0.94,0.948,0.914,0.94,0.931,0.931,1.0
Gujarat,1.185,1.165,1.145,1.125,1.004,1.002,1.003,1.002,1.002,1.003,1.003,1.005,1.003,1.004,1.004,1.0
Haryana,1.193,1.173,1.153,1.133,1.01,1.006,1.009,1.006,1.005,1.009,1.008,1.013,1.009,1.01,1.01,1.0
Himachal Pradesh,1.204,1.184,1.164,1.144,1.019,1.012,1.017,1.012,1.01,1.017,1.015,1.024,1.017,1.019,1.019,1.0
Jharkhand,1.29,1.27,1.25,1.23,1.088,1.055,1.077,1.055,1.044,1.077,1.066,1.11,1.077,1.088,1.088,1.0
Karnataka,1.185,1.165,1.145,1.125,1.004,1.003,1.004,1.003,1.002,1.004,1.003,1.005,1.004,1.004,1.004,1.0
Kerala,1.124,1.104,1.084,1.064,0.955,0.972,0.961,0.972,0.978,0.961,0.967,0.944,0.961,0.955,0.955,1.0
Madhya Pradesh,1.268,1.248,1.228,1.208,1.07,1.044,1.062,1.044,1.035,1.062,1.053,1.088,1.062,1.07,1.07,1.0
Maharashtra,1.165,1.145,1.125,1.105,0.988,0.992,0.989,0.992,0.994,0.989,0.991,0.985,0.989,0.988,0.988,1.0
Manipur,1.24,1.22,1.2,1.18,1.048,1.03,1.042,1.03,1.024,1.042,1.036,1.06,1.042,1.048,1.048,1.0
Meghalaya,1.26,1.24,1.22,1.2,1.064,1.04,1.056,1.04,1.032,1.056,1.048,1.08,1.056,1.064,1.064,1.0
Mizoram,1.167,1.147,1.127,1.107,0.99,0.994,0.991,0.994,0.995,0.991,0.992,0.987,0.991,0.99,0.99,1.0
Nagaland,1.22,1.2,1.18,1.16,1.032,1.02,1.028,1.02,1.016,1.028,1.024,1.04,1.028,1.032,1.032,1.0
Odisha,1.259,1.239,1.219,1.199,1.063,1.04,1.055,1.04,1.032,1.055,1.047,1.079,1.055,1.063,1.063,1.0
Punjab,1.199,1.179,1.159,1.139,1.015,1.009,1.013,1.009,1.007,1.013,1.011,1.019,1.013,1.015,1.015,1.0
Rajasthan,1.285,1.265,1.245,1.225,1.084,1.052,1.073,1.052,1.042,1.073,1.063,1.105,1.073,1.084,1.084,1.0
Sikkim,1.171,1.151,1.131,1.111,0.993,0.995,0.993,0.995,0.996,0.993,0.994,0.991,0.993,0.993,0.993,1.0
Tamil Nadu,1.163,1.143,1.123,1.103,0.986,0.992,0.988,0.992,0.993,0.988,0.99,0.983,0.988,0.986,0.986,1.0
Telangana,1.189,1.169,1.149,1.129,1.007,1.004,1.006,1.004,1.003,1.006,1.005,1.009,1.006,1.007,1.007,1.0
Tripura,1.22,1.2,1.18,1.16,1.032,1.02,1.028,1.02,1.016,1.028,1.024,1.04,1.028,1.032,1.032,1.0
Uttar Pradesh,1.299,1.279,1.259,1.239,1.095,1.06,1.083,1.06,1.048,1.083,1.072,1.119,1.083,1.095,1.095,1.0
Uttarakhand,1.194,1.174,1.154,1.134,1.011,1.007,1.01,1.007,1.006,1.01,1.008,1.014,1.01,1.011,1.011,1.0
West Bengal,1.226,1.206,1.186,1.166,1.037,1.023,1.032,1.023,1.018,1.032,1.028,1.046,1.032,1.037,1.037,1.0
