state,dropout_rate,gdp_per_capita,literacy_rate,rural_pct,dropout_norm,gdp_norm,literacy_norm,rural_norm,SRS
Andhra Pradesh,12.5,169289,67.0,70.4,0.23502304147465433,0.7217616542752276,0.838006230529595,0.6012269938650308,0.5990044800361269
Arunachal Pradesh,21.3,207554,65.4,77.3,0.640552995391705,0.6293030751870797,0.8878504672897194,0.7423312883435581,0.7250094565530155
Assam,17.5,108290,72.2,85.9,0.4654377880184331,0.8691517200219397,0.67601246105919,0.918200408997955,0.7322005945243795
Bihar,29.1,54137,61.8,88.7,1.0,1.0,1.0,0.9754601226993864,0.9938650306748467
Chhattisgarh,23.4,125482,71.0,76.8,0.737327188940092,0.8276112027951413,0.7133956386292835,0.7321063394683025,0.7526100924582049
Goa,8.7,467998,88.7,41.0,0.05990783410138243,0.0,0.161993769470405,0.0,0.055475400892946856
Gujarat,12.8,221105,78.0,57.4,0.24884792626728108,0.596560197747553,0.4953271028037384,0.3353783231083844,0.4190283874817392
Haryana,13.4,264982,76.6,65.2,0.27649769585253453,0.4905415103138493,0.5389408099688475,0.4948875255623722,0.45021688542440086
Himachal Pradesh,9.0,232744,82.8,89.9,0.07373271889400919,0.5684372289246873,0.34579439252336464,1.0,0.49699108508551526
Jharkhand,27.2,90719,67.6,75.9,0.9124423963133638,0.9116080036534006,0.8193146417445485,0.7137014314928426,0.8392666183010389
Karnataka,11.8,266794,75.4,61.4,0.20276497695852533,0.486163228716888,0.5763239875389407,0.41717791411042937,0.42060752683119584
Kerala,7.4,231586,93.9,47.7,0.0,0.5712352698128116,0.0,0.1370143149284254,0.17706239618530925
Madhya Pradesh,25.2,128289,70.6,72.4,0.8202764976958523,0.8208287323521666,0.7258566978193148,0.6421267893660532,0.7522721793083468
Maharashtra,10.2,225073,82.3,54.8,0.12903225806451607,0.5869724376058628,0.3613707165109036,0.28220858895705514,0.3398960002845844
Manipur,18.6,99470,76.9,71.8,0.5161290322580645,0.8904632231594666,0.5295950155763238,0.6298568507157463,0.6415110304274003
Meghalaya,20.7,109370,74.4,80.0,0.6129032258064515,0.8665421482091813,0.6074766355140185,0.7975460122699386,0.7211170054498974
Mizoram,16.4,160801,91.3,48.9,0.4147465437788017,0.742270955707351,0.08099688473520272,0.1615541922290388,0.34989214411259856
Nagaland,15.9,135823,80.1,71.1,0.39170506912442393,0.8026245526879798,0.42990654205607504,0.6155419222903884,0.5599445215397167
Odisha,19.3,138383,72.9,83.3,0.5483870967741935,0.7964389009836637,0.6542056074766354,0.8650306748466257,0.7160155700202795
Punjab,11.0,167083,75.8,62.5,0.1658986175115207,0.7270919463298064,0.5638629283489098,0.43967280163599176,0.4741315734565572
Rajasthan,26.8,129149,66.1,75.1,0.8940092165898615,0.8187507399827478,0.8660436137071652,0.6973415132924333,0.8190362708930519
Sikkim,9.3,342611,82.2,75.0,0.08755760368663595,0.3029688711910521,0.36448598130841126,0.6952965235173824,0.3625772449258704
Tamil Nadu,10.4,243044,80.1,51.6,0.13824884792626727,0.5435496458956026,0.42990654205607504,0.21676891615541924,0.332118488008341
Telangana,12.0,278993,72.8,61.1,0.21198156682027644,0.4566871485837032,0.6573208722741434,0.41104294478527603,0.4342581331158497
Tripura,18.9,120319,87.2,73.4,0.5299539170506911,0.8400864058222447,0.20872274143302183,0.6625766871165645,0.5603349378556306
Uttar Pradesh,28.7,71178,67.7,77.7,0.9815668202764974,0.9588243395729484,0.8161993769470404,0.7505112474437627,0.8767754460600623
Uttarakhand,10.1,205744,78.8,70.0,0.1244239631336405,0.6336765242436471,0.4704049844236762,0.5930470347648261,0.45538812664144745
West Bengal,17.2,133998,77.1,68.1,0.45161290322580633,0.807034245797502,0.5233644859813087,0.5541922290388547,0.5840509660108679
